concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue
0.1,Dasatinib,cytosolic,1.74809579906,1.06063920376e-249,361629.0,24h,3.56374772464e-247
0.01,Neratinib,cytosolic,0.770925732286,1.23308857006e-137,1219657.5,24h,4.14317759539e-135
1.0,Dasatinib,cytosolic,2.07315767862,9.05240480437e-96,278619.5,24h,3.04160801427e-93
0.1,Etoposide,cytosolic,0.830611069686,6.7928519403e-148,1332001.0,24h,2.28239825194e-145
0.0001,Paclitaxel,cytosolic,0.768264097009,9.07202694845e-152,1734427.0,24h,3.04820105468e-149
1.0,Alpelisib,cytosolic,0.704587812154,2.84207998207e-137,1306227.5,24h,9.54938873977e-135
0.031623,Neratinib,cytosolic,0.790093359578,5.62868760028e-125,1131356.0,24h,1.89123903369e-122
3.1623,Alpelisib,cytosolic,0.829615817053,1.68417840231e-126,1059330.5,24h,5.65883943175e-124
0.001,Neratinib,cytosolic,0.606058702271,5.24123501467e-140,1982581.5,24h,1.76105496493e-137
0.01,Trametinib,cytosolic,0.643252870475,6.82999221007e-121,1388105.0,24h,2.29487738258e-118
0.31623,Alpelisib,cytosolic,-0.126675515247,0.0223251419162,2716990.0,24h,1.0
0.1,Vorinostat,cytosolic,0.327358720493,5.71268241449e-48,2105590.0,24h,1.91946129127e-45
0.0003,Trametinib,cytosolic,0.316698593705,1.26517303945e-44,2300808.0,24h,4.25098141256e-42
0.001,Trametinib,cytosolic,0.232589723222,2.73292794387e-15,2656455.5,24h,9.18263789141e-13
3.1623,Palbociclib,cytosolic,0.356967287322,1.31550569778e-37,1637379.5,24h,4.42009914454e-35
0.0031623,Trametinib,cytosolic,0.36322977144,3.30814588544e-63,2069778.5,24h,1.11153701751e-60
0.01,Etoposide,cytosolic,0.505960686992,2.64266122265e-123,1885943.0,24h,8.8793417081e-121
0.031623,Palbociclib,cytosolic,0.450214448536,2.21381413377e-95,2227398.5,24h,7.43841548946e-93
1.0,Etoposide,cytosolic,0.828932652953,1.03686541836e-136,599505.5,24h,3.48386780568e-134
0.031623,Alpelisib,cytosolic,-0.0639157505128,0.0796005854645,3087701.5,24h,1.0
0.031623,Vorinostat,cytosolic,0.0802835666316,3.22506929009e-08,3040919.0,24h,1.08362328147e-05
0.31623,Trametinib,cytosolic,-0.0223947252191,0.0716621436406,2713867.0,24h,1.0
0.31623,Neratinib,cytosolic,0.13349309006,8.30492599467e-08,2026296.5,24h,2.79045513421e-05
3.1623,Dasatinib,cytosolic,1.50642356508,7.85940850163e-118,279597.0,24h,2.64076125655e-115
10.0,Palbociclib,cytosolic,0.0558525072626,2.56693745667e-05,2426979.5,24h,0.0086249098544
0.1,Palbociclib,cytosolic,0.173894267259,8.69721703092e-14,2166297.0,24h,2.92226492239e-11
0.0031623,Paclitaxel,cytosolic,0.474485512408,1.78071800478e-83,1421596.0,24h,5.98321249605e-81
0.031623,Etoposide,cytosolic,-0.000845756236624,0.0393531804297,3604420.5,24h,1.0
3.1623,Etoposide,cytosolic,0.244618773833,9.73689399682e-20,1206406.5,24h,3.27159638293e-17
1.0,Vorinostat,cytosolic,-0.790310512879,5.36184959963e-113,1545650.5,24h,1.80158146548e-110
0.01,Alpelisib,cytosolic,-0.257526749274,8.84832925712e-19,2790674.5,24h,2.97303863039e-16
10.0,Alpelisib,cytosolic,-0.209822043719,9.98175563179e-14,1971930.5,24h,3.35386989228e-11
0.31623,Palbociclib,cytosolic,-0.227565584748,4.77414672951e-18,2292907.5,24h,1.60411330112e-15
0.0032,Neratinib,cytosolic,-0.0539073439769,0.273183965011,3920837.0,24h,1.0
3.1623,Vorinostat,cytosolic,-0.576867589259,8.02765762751e-62,1564696.5,24h,2.69729296284e-59
0.31623,Dasatinib,cytosolic,0.689681717894,1.49498974262e-75,933776.0,24h,5.02316553519e-73
0.01,Dasatinib,cytosolic,-0.214069077762,3.4611215583e-08,3452123.0,24h,1.16293684359e-05
0.01,Paclitaxel,cytosolic,0.671867913472,2.7992688463e-70,773654.5,24h,9.40554332356e-68
0.01,Palbociclib,cytosolic,-0.254279578667,2.41828708745e-21,2476255.5,24h,8.12544461383e-19
1.0,Neratinib,cytosolic,-0.361196300525,1.24066682237e-38,1474564.0,24h,4.16864052318e-36
0.1,Trametinib,cytosolic,-0.292753754552,3.43047397613e-23,1817565.0,24h,1.15263925598e-20
10.0,Vorinostat,cytosolic,-0.23177833686,2.81714911819e-20,1382148.5,24h,9.46562103712e-18
0.1,Alpelisib,cytosolic,-0.389374752211,7.88373474339e-49,2181252.0,24h,2.64893487378e-46
0.31623,Etoposide,cytosolic,-0.139990119103,1.18495231213e-09,2251461.5,24h,3.98143976877e-07
0.031623,Trametinib,cytosolic,-0.3837014489,7.62047415779e-42,1972985.5,24h,2.56047931702e-39
0.1,Neratinib,cytosolic,-0.214733839242,2.79816492407e-19,2040582.5,24h,9.40183414489e-17
0.00032,Paclitaxel,cytosolic,-0.599782070782,3.18103186469e-85,1987342.0,24h,1.06882670654e-82
10.0,Etoposide,cytosolic,-0.410531103119,1.4145896031e-16,901659.0,24h,4.75302106642e-14
1.0,Palbociclib,cytosolic,-0.583142888641,3.57319251877e-63,1123597.0,24h,1.20059268631e-60
10.0,Dasatinib,cytosolic,0.682179741337,2.13562188711e-20,396999.5,24h,7.17568954068e-18
0.1,Paclitaxel,cytosolic,0.564984830733,1.13509887042e-12,451806.5,24h,3.81393220461e-10
0.01,Vorinostat,cytosolic,-0.691316173454,1.02423127489e-121,1619231.0,24h,3.44141708361e-119
0.31623,Vorinostat,cytosolic,-0.66884321218,2.47540750659e-75,1422230.0,24h,8.31736922214e-73
0.031623,Dasatinib,cytosolic,-2.08990172463,9.91497169953e-194,2238418.5,24h,3.33143049104e-191
0.031623,Paclitaxel,cytosolic,-2.2965496565,0.0,1087571.5,24h,0.0
0.001,Paclitaxel,cytosolic,-0.445868499722,1.0219510271e-55,1944552.5,24h,3.43375545106e-53
0.1,Dasatinib,nuclear,1.90398475955,3.50979316973e-238,394206.0,24h,1.17929050503e-235
0.01,Neratinib,nuclear,0.841441241491,2.36224091801e-91,1454538.5,24h,7.93712948452e-89
1.0,Dasatinib,nuclear,2.29600033078,3.03117228563e-99,268005.0,24h,1.01847388797e-96
0.1,Etoposide,nuclear,1.02633625278,1.16518234275e-149,1323786.5,24h,3.91501267166e-147
0.0001,Paclitaxel,nuclear,0.930989644397,1.81198347239e-146,1762149.5,24h,6.08826446724e-144
1.0,Alpelisib,nuclear,0.804490491888,1.74940532572e-100,1494100.5,24h,5.87800189441e-98
0.031623,Neratinib,nuclear,0.597032581884,2.4762056168e-47,1574669.0,24h,8.32005087246e-45
3.1623,Alpelisib,nuclear,0.694381666124,8.28794382433e-63,1393307.5,24h,2.78474912497e-60
0.001,Neratinib,nuclear,0.755703798438,1.461934706e-131,2031041.5,24h,4.91210061217e-129
0.01,Trametinib,nuclear,0.392976727773,2.39508211762e-27,2033632.0,24h,8.0474759152e-25
0.31623,Alpelisib,nuclear,-0.0687332203446,0.387869662397,2810109.0,24h,1.0
0.1,Vorinostat,nuclear,0.358867975142,1.36640721441e-34,2231507.0,24h,4.59112824043e-32
0.0003,Trametinib,nuclear,0.26343630135,5.51247459802e-24,2525308.5,24h,1.85219146494e-21
0.001,Trametinib,nuclear,0.189197040374,1.23677791907e-11,2721627.5,24h,4.15557380808e-09
3.1623,Palbociclib,nuclear,0.413729492267,5.1016276207e-27,1734812.5,24h,1.71414688056e-24
0.0031623,Trametinib,nuclear,0.155932574415,2.1174970661e-10,2658487.0,24h,7.1147901421e-08
0.01,Etoposide,nuclear,0.770706384263,1.26498658019e-146,1757654.0,24h,4.25035490943e-144
0.031623,Palbociclib,nuclear,0.580713069878,1.74464602471e-85,2296750.0,24h,5.86201064304e-83
1.0,Etoposide,nuclear,1.00359272079,1.6207378071e-115,678083.0,24h,5.44567903186e-113
0.031623,Alpelisib,nuclear,-0.000154357633091,0.238478278938,3128000.5,24h,1.0
0.031623,Vorinostat,nuclear,0.199262613316,2.9192237798e-17,2863229.0,24h,9.80859190012e-15
0.31623,Trametinib,nuclear,-0.298250226375,1.91718149306e-14,2386326.0,24h,6.44172981668e-12
0.31623,Neratinib,nuclear,0.0599637907589,0.0135386743384,2170354.5,24h,1.0
3.1623,Dasatinib,nuclear,1.84401716421,4.55253337162e-111,299871.0,24h,1.52965121286e-108
10.0,Palbociclib,nuclear,0.0577555138062,0.00111933310515,2478506.5,24h,0.37609592333
0.1,Palbociclib,nuclear,0.127747771573,1.00190403817e-06,2299053.5,24h,0.000336639756827
0.0031623,Paclitaxel,nuclear,0.463985525811,1.34520691321e-49,1643699.0,24h,4.51989522837e-47
0.031623,Etoposide,nuclear,0.0848097301095,6.20801808177e-06,3438028.5,24h,0.00208589407547
3.1623,Etoposide,nuclear,0.141968257603,4.34865889098e-05,1402005.5,24h,0.0146114938737
1.0,Vorinostat,nuclear,-1.03125093398,3.9281651787e-138,1416566.0,24h,1.31986350004e-135
0.01,Alpelisib,nuclear,-0.199328181423,2.05931295221e-08,2985833.5,24h,6.91929151941e-06
10.0,Alpelisib,nuclear,-0.376592536729,2.69495047484e-22,1861345.0,24h,9.05503359548e-20
0.31623,Palbociclib,nuclear,-0.443791025011,2.74061314864e-33,2112909.0,24h,9.20846017942e-31
0.0032,Neratinib,nuclear,0.109564883477,4.74952884188e-10,3555529.0,24h,1.59584169087e-07
3.1623,Vorinostat,nuclear,-0.889354612664,1.15959771646e-93,1372086.5,24h,3.8962483273e-91
0.31623,Dasatinib,nuclear,0.695658185924,1.40934466484e-53,1053286.5,24h,4.73539807387e-51
0.01,Dasatinib,nuclear,-0.301192426997,7.01585122118e-16,3284723.5,24h,2.35732601032e-13
0.01,Paclitaxel,nuclear,0.894517175859,1.71651836884e-67,787024.5,24h,5.7675017193e-65
0.01,Palbociclib,nuclear,-0.290603557805,3.10046534926e-19,2505634.5,24h,1.04175635735e-16
1.0,Neratinib,nuclear,-0.573120969854,2.49519611316e-49,1394895.5,24h,8.38385894022e-47
0.1,Trametinib,nuclear,-0.608526028653,1.23170354737e-60,1505197.0,24h,4.13852391916e-58
10.0,Vorinostat,nuclear,-0.615032044218,1.44437245054e-55,1114195.5,24h,4.85309143383e-53
0.1,Alpelisib,nuclear,-0.455058055146,1.21004688762e-42,2237399.5,24h,4.06575754239e-40
0.31623,Etoposide,nuclear,-0.209164023062,2.24995071952e-12,2203035.5,24h,7.55983441759e-10
0.031623,Trametinib,nuclear,-0.761308340203,6.99816268798e-97,1587771.0,24h,2.35138266316e-94
0.1,Neratinib,nuclear,-0.551962614665,5.00311843624e-46,1775058.0,24h,1.68104779458e-43
0.00032,Paclitaxel,nuclear,-0.653691224381,5.48972408517e-66,2125043.5,24h,1.84454729262e-63
10.0,Etoposide,nuclear,-0.554353193363,1.29601566871e-18,883633.5,24h,4.35461264688e-16
1.0,Palbociclib,nuclear,-0.805607759372,3.45624151761e-67,1100810.0,24h,1.16129714992e-64
10.0,Dasatinib,nuclear,1.07009121497,2.80212290058e-20,397682.0,24h,9.41513294595e-18
0.1,Paclitaxel,nuclear,0.884137661645,1.1470224542e-15,430569.0,24h,3.8539954461e-13
0.01,Vorinostat,nuclear,-0.873565456727,3.48307796854e-107,1700098.5,24h,1.17031419743e-104
0.31623,Vorinostat,nuclear,-0.995603461229,1.44771074885e-96,1302761.5,24h,4.86430811614e-94
0.031623,Dasatinib,nuclear,-1.81223266702,3.31576497732e-240,2000529.5,24h,1.11409703238e-237
0.031623,Paclitaxel,nuclear,-2.00316334025,0.0,1199432.5,24h,0.0
0.001,Paclitaxel,nuclear,-0.540795246009,5.9900943772e-53,1966529.0,24h,2.01267171074e-50
0.1,Dasatinib,cytosolic,2.24310647874,0.0,548693.5,48h,0.0
0.01,Neratinib,cytosolic,0.768114252939,0.0,13619375.5,48h,0.0
1.0,Dasatinib,cytosolic,2.99455688974,0.0,76306.0,48h,0.0
0.1,Etoposide,cytosolic,1.38278364362,0.0,3619467.5,48h,0.0
0.0001,Paclitaxel,cytosolic,0.787980159291,0.0,13087453.5,48h,0.0
1.0,Alpelisib,cytosolic,0.976033092252,0.0,6001098.0,48h,0.0
0.031623,Neratinib,cytosolic,0.878752318251,0.0,6315256.5,48h,0.0
3.1623,Alpelisib,cytosolic,1.14245275333,0.0,3638411.0,48h,0.0
0.001,Neratinib,cytosolic,0.645587635854,0.0,15499783.5,48h,0.0
0.01,Trametinib,cytosolic,1.60550015595,0.0,1378422.5,48h,0.0
0.31623,Alpelisib,cytosolic,0.50161783564,0.0,16117608.0,48h,0.0
0.1,Vorinostat,cytosolic,0.479849509914,0.0,19975512.0,48h,0.0
0.0003,Trametinib,cytosolic,0.556458028944,0.0,18608437.5,48h,0.0
0.001,Trametinib,cytosolic,0.621497644971,0.0,14108194.0,48h,0.0
3.1623,Palbociclib,cytosolic,1.03946254199,0.0,3352267.0,48h,0.0
0.0031623,Trametinib,cytosolic,1.05999448836,0.0,5738671.5,48h,0.0
0.01,Etoposide,cytosolic,0.330504697113,8.85142064033e-208,23453203.5,48h,2.97407733515e-205
0.031623,Palbociclib,cytosolic,0.549508976161,0.0,19279470.5,48h,0.0
1.0,Etoposide,cytosolic,1.01975693962,4.66849384856e-177,2226510.5,48h,1.56861393312e-174
0.031623,Alpelisib,cytosolic,0.153578890787,3.83506480027e-63,30346297.5,48h,1.28858177289e-60
0.031623,Vorinostat,cytosolic,0.191148571491,2.69571124747e-65,30620452.5,48h,9.05758979148e-63
0.31623,Trametinib,cytosolic,1.15826312122,0.0,1712358.0,48h,0.0
0.31623,Neratinib,cytosolic,1.47482397997,0.0,1590992.0,48h,0.0
3.1623,Dasatinib,cytosolic,2.49760464564,1.78640432144e-224,132472.0,48h,6.00231852003e-222
10.0,Palbociclib,cytosolic,0.823152247224,2.81483414707e-285,4508501.5,48h,9.45784273417e-283
0.1,Palbociclib,cytosolic,0.246615639555,2.55836721338e-87,22515241.0,48h,8.59611383696e-85
0.0031623,Paclitaxel,cytosolic,1.1421311803,1.0217081403e-217,4081962.0,48h,3.43293935141e-215
0.031623,Etoposide,cytosolic,0.154261573297,6.00404054275e-29,28319114.5,48h,2.01735762236e-26
3.1623,Etoposide,cytosolic,0.910681325664,4.26600752288e-158,1631609.0,48h,1.43337852769e-155
1.0,Vorinostat,cytosolic,0.327738350235,3.26555888585e-68,11950741.5,48h,1.09722778565e-65
0.01,Alpelisib,cytosolic,0.162969881964,3.4176769186e-48,33258875.5,48h,1.14833944465e-45
10.0,Alpelisib,cytosolic,0.696775993192,9.73481159592e-167,5147452.5,48h,3.27089669623e-164
0.31623,Palbociclib,cytosolic,0.0591152662146,0.00792894370128,29003954.5,48h,1.0
0.0032,Neratinib,cytosolic,-0.146586614552,1.9515692943e-86,35844864.5,48h,6.55727282886e-84
3.1623,Vorinostat,cytosolic,0.235483648627,8.82035517412e-15,6724549.0,48h,2.9636393385e-12
0.31623,Dasatinib,cytosolic,1.96535699553,0.0,1318893.5,48h,0.0
0.01,Dasatinib,cytosolic,0.16364948156,2.73612800687e-59,31521883.0,48h,9.1933901031e-57
0.01,Paclitaxel,cytosolic,1.5303736283,2.56548184878e-245,486186.5,48h,8.62001901189e-243
0.01,Palbociclib,cytosolic,-0.0194506987933,0.0557736630836,36903208.5,48h,1.0
1.0,Neratinib,cytosolic,1.04263081794,1.04464722926e-187,2878159.5,48h,3.51001469032e-185
0.1,Trametinib,cytosolic,0.608403324213,1.52216641401e-128,5512203.5,48h,5.11447915107e-126
10.0,Vorinostat,cytosolic,0.660538076633,7.19677425493e-67,2906976.5,48h,2.41811614966e-64
0.1,Alpelisib,cytosolic,-0.116386747489,3.4931663064e-45,30454494.0,48h,1.17370387895e-42
0.31623,Etoposide,cytosolic,0.286505872396,1.2272666706e-54,13188222.0,48h,4.12361601322e-52
