,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.16175528823,6.04035160535e-85,2153644.5,24,2.03E-82,0,1
1,0.031623,Alpelisib,nuclear,0.124289427783,7.68845426594e-47,2340408.0,24,2.58E-44,1,2
2,0.1,Alpelisib,nuclear,-0.14405967266,1.60164842537e-80,1938880.5,24,5.38E-78,2,3
3,0.31623,Alpelisib,nuclear,0.12376199281,4.56474683309e-34,2170940.0,24,1.53E-31,3,4
4,1.0,Alpelisib,nuclear,0.436257294008,1.99884866633e-205,1016461.0,24,6.72E-203,4,5
5,3.1623,Alpelisib,nuclear,0.0159872549499,0.213634971959,2129447.0,24,1,5,6
6,10.0,Alpelisib,nuclear,-0.188884684637,2.26683018397e-99,1307043.5,24,7.62E-97,6,7
7,0.01,Alpelisib,nuclear,-0.0329578869963,6.41779424362e-26,34774379.5,48,2.16E-23,7,8
8,0.031623,Alpelisib,nuclear,0.0760215456844,2.94986553224e-93,29014673.5,48,9.91E-91,8,9
9,0.1,Alpelisib,nuclear,-0.0397209058494,7.05461814038e-38,30893508.5,48,2.37E-35,9,10
10,0.31623,Alpelisib,nuclear,0.0790884336149,4.03644124865e-89,22251728.0,48,1.36E-86,10,11
11,1.0,Alpelisib,nuclear,0.17845168476,1.02110642786e-250,12917541.0,48,3.43E-248,11,12
12,3.1623,Alpelisib,nuclear,0.222976348665,3.76574800913e-295,7803076.0,48,1.27E-292,12,13
13,10.0,Alpelisib,nuclear,0.0128797629525,0.0380278049924,9581409.0,48,1,13,14
14,0.01,Alpelisib,nuclear,0.251297729789,0.0,283885735.0,72,0.00E+00,14,15
15,0.031623,Alpelisib,nuclear,0.852214284691,0.0,102271086.0,72,0.00E+00,15,16
16,0.1,Alpelisib,nuclear,-0.245262743403,0.0,169206973.0,72,0.00E+00,16,17
17,0.31623,Alpelisib,nuclear,-0.132242851668,2.01964601015e-181,207064465.0,72,6.79E-179,17,18
18,1.0,Alpelisib,nuclear,0.0668133715556,3.61429266854e-26,211718183.0,72,1.21E-23,18,19
19,3.1623,Alpelisib,nuclear,-0.0284857458612,0.000194477872188,178801084.5,72,6.53E-02,19,20
20,10.0,Alpelisib,nuclear,0.703708471446,0.0,27100264.5,72,0.00E+00,20,21
21,0.01,Dasatinib,nuclear,-0.0401544742886,6.99907128564e-08,3460383.5,24,2.35E-05,0,1
22,0.031623,Dasatinib,nuclear,-0.415179720793,0.0,1583485.5,24,0.00E+00,1,2
23,0.1,Dasatinib,nuclear,1.68056849697,0.0,95101.0,24,0.00E+00,2,3
24,0.31623,Dasatinib,nuclear,0.86599219589,5.01636508049e-177,534621.5,24,1.69E-174,3,4
25,1.0,Dasatinib,nuclear,2.48509738945,1.31735839535e-184,49943.0,24,4.43E-182,4,5
26,3.1623,Dasatinib,nuclear,2.02992292409,4.08169857509e-194,82615.5,24,1.37E-191,5,6
27,10.0,Dasatinib,nuclear,2.1187451308,3.57258573009e-138,28557.0,24,1.20E-135,6,7
28,0.01,Dasatinib,nuclear,0.0155357200195,7.93863810312e-06,35851573.0,48,2.67E-03,7,8
29,0.031623,Dasatinib,nuclear,-0.0117240525571,0.000132070429014,24503070.0,48,4.44E-02,8,9
30,0.1,Dasatinib,nuclear,0.721475503241,0.0,1970893.5,48,0.00E+00,9,10
31,0.31623,Dasatinib,nuclear,0.864348021904,0.0,1208990.5,48,0.00E+00,10,11
32,1.0,Dasatinib,nuclear,1.00423874084,6.06915675963e-258,1430413.0,48,2.04E-255,11,12
33,3.1623,Dasatinib,nuclear,1.43339124117,2.58241475827e-203,282010.0,48,8.68E-201,12,13
34,10.0,Dasatinib,nuclear,0.812191653851,2.13577899522e-42,139123.5,48,7.18E-40,13,14
35,0.01,Dasatinib,nuclear,-0.0910763424173,3.07476861078e-71,190246560.0,72,1.03E-68,14,15
36,0.031623,Dasatinib,nuclear,0.692295502285,0.0,107542640.0,72,0.00E+00,15,16
37,0.1,Dasatinib,nuclear,1.18734364103,0.0,21493738.5,72,0.00E+00,16,17
38,0.31623,Dasatinib,nuclear,1.01370025568,0.0,11912807.0,72,0.00E+00,17,18
39,1.0,Dasatinib,nuclear,0.988288745281,7.18206825502e-156,9074622.5,72,2.41E-153,18,19
40,3.1623,Dasatinib,nuclear,-0.742969877353,6.41572982335e-126,5545829.5,72,2.16E-123,19,20
